krs09,krs09name,ROR08,ROR08name,kkz1,kkz2
5334000,Städteregion Aachen,501,Aachen,5334,05334
5358000,Düren,501,Aachen,5358,05358
5362000,Rhein-Erft-Kreis,510,Köln,5362,05362
5366000,Euskirchen,501,Aachen,5366,05366
5370000,Heinsberg,501,Aachen,5370,05370
5374000,Oberbergischer Kreis,510,Köln,5374,05374
5378000,Rheinisch-Bergischer Kreis,510,Köln,5378,05378
5382000,Rhein-Sieg-Kreis,505,Bonn,5382,05382
5512000,"Bottrop, Stadt",509,Emscher-Lippe,5512,05512
5513000,"Gelsenkirchen, Stadt",509,Emscher-Lippe,5513,05513
5515000,"Münster, Stadt",511,Münster,5515,05515
5554000,Borken,511,Münster,5554,05554
5558000,Coesfeld,511,Münster,5558,05558
5562000,Recklinghausen,509,Emscher-Lippe,5562,05562
5566000,Steinfurt,511,Münster,5566,05566
5570000,Warendorf,511,Münster,5570,05570
5711000,"Bielefeld, Stadt",503,Bielefeld,5711,05711
5754000,Gütersloh,503,Bielefeld,5754,05754
5758000,Herford,503,Bielefeld,5758,05758
5762000,Höxter,512,Paderborn,5762,05762
5766000,Lippe,503,Bielefeld,5766,05766
5770000,Minden-Lübbecke,503,Bielefeld,5770,05770
5774000,Paderborn,512,Paderborn,5774,05774
5911000,"Bochum, Stadt",504,Bochum/Hagen,5911,05911
5913000,"Dortmund, Stadt",506,Dortmund,5913,05913
5914000,"Hagen, Stadt",504,Bochum/Hagen,5914,05914
5915000,"Hamm, Stadt",506,Dortmund,5915,05915
5916000,"Herne, Stadt",504,Bochum/Hagen,5916,05916
5954000,Ennepe-Ruhr-Kreis,504,Bochum/Hagen,5954,05954
5958000,Hochsauerlandkreis,502,Arnsberg,5958,05958
5962000,Märkischer Kreis,504,Bochum/Hagen,5962,05962
5966000,Olpe,513,Siegen,5966,05966
5970000,Siegen-Wittgenstein,513,Siegen,5970,05970
5974000,Soest,502,Arnsberg,5974,05974
5978000,Unna,506,Dortmund,5978,05978
6411000,"Darmstadt, Stadt",605,Starkenburg,6411,06411
6412000,"Frankfurt am Main, Stadt",604,Rhein-Main,6412,06412
6413000,"Offenbach am Main, Stadt",604,Rhein-Main,6413,06413
6414000,"Wiesbaden, Stadt",604,Rhein-Main,6414,06414
6431000,Bergstraße,605,Starkenburg,6431,06431
6432000,Darmstadt-Dieburg,605,Starkenburg,6432,06432
6433000,Groß-Gerau,605,Starkenburg,6433,06433
6434000,Hochtaunuskreis,604,Rhein-Main,6434,06434
6435000,Main-Kinzig-Kreis,604,Rhein-Main,6435,06435
6436000,Main-Taunus-Kreis,604,Rhein-Main,6436,06436
6437000,Odenwaldkreis,605,Starkenburg,6437,06437
6438000,Offenbach,604,Rhein-Main,6438,06438
6439000,Rheingau-Taunus-Kreis,604,Rhein-Main,6439,06439
6440000,Wetteraukreis,604,Rhein-Main,6440,06440
6531000,Gießen,601,Mittelhessen,6531,06531
6532000,Lahn-Dill-Kreis,601,Mittelhessen,6532,06532
6533000,Limburg-Weilburg,601,Mittelhessen,6533,06533
6534000,Marburg-Biedenkopf,601,Mittelhessen,6534,06534
6535000,Vogelsbergkreis,601,Mittelhessen,6535,06535
6611000,"Kassel, Stadt",602,Nordhessen,6611,06611
6631000,Fulda,603,Osthessen,6631,06631
6632000,Hersfeld-Rotenburg,603,Osthessen,6632,06632
6633000,Kassel,602,Nordhessen,6633,06633
6634000,Schwalm-Eder-Kreis,602,Nordhessen,6634,06634
6635000,Waldeck-Frankenberg,602,Nordhessen,6635,06635
6636000,Werra-Meißner-Kreis,602,Nordhessen,6636,06636
7111000,"Koblenz, Stadt",701,Mittelrhein-Westerwald,7111,07111
7131000,Ahrweiler,701,Mittelrhein-Westerwald,7131,07131
7132000,Altenkirchen (Westerwald),701,Mittelrhein-Westerwald,7132,07132
7133000,Bad Kreuznach,702,Rheinhessen-Nahe,7133,07133
7134000,Birkenfeld,702,Rheinhessen-Nahe,7134,07134
7135000,Cochem-Zell,701,Mittelrhein-Westerwald,7135,07135
7137000,Mayen-Koblenz,701,Mittelrhein-Westerwald,7137,07137
7138000,Neuwied,701,Mittelrhein-Westerwald,7138,07138
7140000,Rhein-Hunsrück-Kreis,701,Mittelrhein-Westerwald,7140,07140
7141000,Rhein-Lahn-Kreis,701,Mittelrhein-Westerwald,7141,07141
7143000,Westerwaldkreis,701,Mittelrhein-Westerwald,7143,07143
7211000,"Trier, Stadt",704,Trier,7211,07211
7231000,Bernkastel-Wittlich,704,Trier,7231,07231
7232000,Eifelkreis Bitburg-Prüm,704,Trier,7232,07232
7233000,Vulkaneifel,704,Trier,7233,07233
7235000,Trier-Saarburg,704,Trier,7235,07235
7311000,"Frankenthal (Pfalz), Stadt",703,Rheinpfalz,7311,07311
7312000,"Kaiserslautern, Stadt",705,Westpfalz,7312,07312
7313000,"Landau in der Pfalz, Stadt",703,Rheinpfalz,7313,07313
7314000,"Ludwigshafen am Rhein, Stadt",703,Rheinpfalz,7314,07314
7315000,"Mainz, Stadt",702,Rheinhessen-Nahe,7315,07315
7316000,"Neustadt an der Weinstraße, Stadt",703,Rheinpfalz,7316,07316
7317000,"Pirmasens, Stadt",705,Westpfalz,7317,07317
7318000,"Speyer, Stadt",703,Rheinpfalz,7318,07318
7319000,"Worms, Stadt",702,Rheinhessen-Nahe,7319,07319
7320000,"Zweibrücken, Stadt",705,Westpfalz,7320,07320
7331000,Alzey-Worms,702,Rheinhessen-Nahe,7331,07331
7332000,Bad Dürkheim,703,Rheinpfalz,7332,07332
7333000,Donnersbergkreis,705,Westpfalz,7333,07333
7334000,Germersheim,703,Rheinpfalz,7334,07334
7335000,Kaiserslautern,705,Westpfalz,7335,07335
7336000,Kusel,705,Westpfalz,7336,07336
7337000,Südliche Weinstraße,703,Rheinpfalz,7337,07337
7338000,Rhein-Pfalz-Kreis,703,Rheinpfalz,7338,07338
7339000,Mainz-Bingen,702,Rheinhessen-Nahe,7339,07339
7340000,Südwestpfalz,705,Westpfalz,7340,07340
8111000,"Stuttgart, Stadt",810,Stuttgart,8111,08111
8115000,Böblingen,810,Stuttgart,8115,08115
8116000,Esslingen,810,Stuttgart,8116,08116
8117000,Göppingen,810,Stuttgart,8117,08117
8118000,Ludwigsburg,810,Stuttgart,8118,08118
8119000,Rems-Murr-Kreis,810,Stuttgart,8119,08119
8121000,"Heilbronn, Stadt",803,Franken,8121,08121
8125000,Heilbronn,803,Franken,8125,08125
8126000,Hohenlohekreis,803,Franken,8126,08126
8127000,Schwäbisch Hall,803,Franken,8127,08127
8128000,Main-Tauber-Kreis,803,Franken,8128,08128
8135000,Heidenheim,808,Ostwürttemberg,8135,08135
8136000,Ostalbkreis,808,Ostwürttemberg,8136,08136
8211000,"Baden-Baden, Stadt",805,Mittlerer Oberrhein,8211,08211
8212000,"Karlsruhe, Stadt",805,Mittlerer Oberrhein,8212,08212
8215000,Karlsruhe,805,Mittlerer Oberrhein,8215,08215
8216000,Rastatt,805,Mittlerer Oberrhein,8216,08216
8221000,"Heidelberg, Stadt",812,Unterer Neckar,8221,08221
8222000,"Mannheim, Stadt",812,Unterer Neckar,8222,08222
8225000,Neckar-Odenwald-Kreis,812,Unterer Neckar,8225,08225
8226000,Rhein-Neckar-Kreis,812,Unterer Neckar,8226,08226
8231000,"Pforzheim, Stadt",807,Nordschwarzwald,8231,08231
8235000,Calw,807,Nordschwarzwald,8235,08235
8236000,Enzkreis,807,Nordschwarzwald,8236,08236
8237000,Freudenstadt,807,Nordschwarzwald,8237,08237
8311000,"Freiburg im Breisgau, Stadt",811,Südlicher Oberrhein,8311,08311
8315000,Breisgau-Hochschwarzwald,811,Südlicher Oberrhein,8315,08315
8316000,Emmendingen,811,Südlicher Oberrhein,8316,08316
8317000,Ortenaukreis,811,Südlicher Oberrhein,8317,08317
8325000,Rottweil,809,Schwarzwald-Baar-Heuberg,8325,08325
8326000,Schwarzwald-Baar-Kreis,809,Schwarzwald-Baar-Heuberg,8326,08326
8327000,Tuttlingen,809,Schwarzwald-Baar-Heuberg,8327,08327
8335000,Konstanz,804,Hochrhein-Bodensee,8335,08335
8336000,Lörrach,804,Hochrhein-Bodensee,8336,08336
8337000,Waldshut,804,Hochrhein-Bodensee,8337,08337
8415000,Reutlingen,806,Neckar-Alb,8415,08415
8416000,Tübingen,806,Neckar-Alb,8416,08416
8417000,Zollernalbkreis,806,Neckar-Alb,8417,08417
8421000,"Ulm, Stadt",802,Donau-Iller (BW),8421,08421
8425000,Alb-Donau-Kreis,802,Donau-Iller (BW),8425,08425
8426000,Biberach,802,Donau-Iller (BW),8426,08426
8435000,Bodenseekreis,801,Bodensee-Oberschwaben,8435,08435
8436000,Ravensburg,801,Bodensee-Oberschwaben,8436,08436
8437000,Sigmaringen,801,Bodensee-Oberschwaben,8437,08437
9161000,"Ingolstadt, Stadt",907,Ingolstadt,9161,09161
9162000,"München, Stadt",910,München,9162,09162
9163000,"Rosenheim, Stadt",916,Südostoberbayern,9163,09163
9171000,Altötting,916,Südostoberbayern,9171,09171
9172000,Berchtesgadener Land,916,Südostoberbayern,9172,09172
9173000,Bad Tölz-Wolfratshausen,913,Oberland,9173,09173
9174000,Dachau,910,München,9174,09174
9175000,Ebersberg,910,München,9175,09175
9176000,Eichstätt,907,Ingolstadt,9176,09176
9177000,Erding,910,München,9177,09177
9178000,Freising,910,München,9178,09178
9179000,Fürstenfeldbruck,910,München,9179,09179
9180000,Garmisch-Partenkirchen,913,Oberland,9180,09180
9181000,Landsberg am Lech,910,München,9181,09181
9182000,Miesbach,913,Oberland,9182,09182
9183000,Mühldorf a.Inn,916,Südostoberbayern,9183,09183
9184000,München,910,München,9184,09184
9185000,Neuburg-Schrobenhausen,907,Ingolstadt,9185,09185
9186000,Pfaffenhofen a.d.Ilm,907,Ingolstadt,9186,09186
9187000,Rosenheim,916,Südostoberbayern,9187,09187
9188000,Starnberg,910,München,9188,09188
9189000,Traunstein,916,Südostoberbayern,9189,09189
9190000,Weilheim-Schongau,913,Oberland,9190,09190
9261000,"Landshut, Stadt",908,Landshut,9261,09261
9262000,"Passau, Stadt",905,Donau-Wald,9262,09262
9263000,"Straubing, Stadt",905,Donau-Wald,9263,09263
9271000,Deggendorf,905,Donau-Wald,9271,09271
9272000,Freyung-Grafenau,905,Donau-Wald,9272,09272
9273000,Kelheim,915,Regensburg,9273,09273
9274000,Landshut,908,Landshut,9274,09274
9275000,Passau,905,Donau-Wald,9275,09275
9276000,Regen,905,Donau-Wald,9276,09276
9277000,Rottal-Inn,908,Landshut,9277,09277
9278000,Straubing-Bogen,905,Donau-Wald,9278,09278
9279000,Dingolfing-Landau,908,Landshut,9279,09279
9361000,"Amberg, Stadt",914,Oberpfalz-Nord,9361,09361
9362000,"Regensburg, Stadt",915,Regensburg,9362,09362
9363000,"Weiden i.d.Opf., Stadt",914,Oberpfalz-Nord,9363,09363
9371000,Amberg-Sulzbach,914,Oberpfalz-Nord,9371,09371
9372000,Cham,915,Regensburg,9372,09372
9373000,Neumarkt i.d.OPf.,915,Regensburg,9373,09373
9374000,Neustadt a.d.Waldnaab,914,Oberpfalz-Nord,9374,09374
9375000,Regensburg,915,Regensburg,9375,09375
9376000,Schwandorf,914,Oberpfalz-Nord,9376,09376
9377000,Tirschenreuth,914,Oberpfalz-Nord,9377,09377
9461000,"Bamberg, Stadt",912,Oberfranken-West,9461,09461
9462000,"Bayreuth, Stadt",911,Oberfranken-Ost,9462,09462
9463000,"Coburg, Stadt",912,Oberfranken-West,9463,09463
9464000,"Hof, Stadt",911,Oberfranken-Ost,9464,09464
9471000,Bamberg,912,Oberfranken-West,9471,09471
9472000,Bayreuth,911,Oberfranken-Ost,9472,09472
9473000,Coburg,912,Oberfranken-West,9473,09473
9474000,Forchheim,912,Oberfranken-West,9474,09474
9475000,Hof,911,Oberfranken-Ost,9475,09475
9476000,Kronach,912,Oberfranken-West,9476,09476
9477000,Kulmbach,911,Oberfranken-Ost,9477,09477
9478000,Lichtenfels,912,Oberfranken-West,9478,09478
9479000,Wunsiedel i.Fichtelgebirge,911,Oberfranken-Ost,9479,09479
9561000,"Ansbach, Stadt",917,Westmittelfranken,9561,09561
9562000,"Erlangen, Stadt",906,Industrieregion Mittelfranken,9562,09562
9563000,"Fürth, Stadt",906,Industrieregion Mittelfranken,9563,09563
9564000,"Nürnberg, Stadt",906,Industrieregion Mittelfranken,9564,09564
9565000,"Schwabach, Stadt",906,Industrieregion Mittelfranken,9565,09565
9571000,Ansbach,917,Westmittelfranken,9571,09571
9572000,Erlangen-Höchstadt,906,Industrieregion Mittelfranken,9572,09572
9573000,Fürth,906,Industrieregion Mittelfranken,9573,09573
9574000,Nürnberger Land,906,Industrieregion Mittelfranken,9574,09574
9575000,Neustadt a.d.Aisch-Bad Windsheim,917,Westmittelfranken,9575,09575
9576000,Roth,906,Industrieregion Mittelfranken,9576,09576
9577000,Weißenburg-Gunzenhausen,917,Westmittelfranken,9577,09577
9661000,"Aschaffenburg, Stadt",903,Bayerischer Untermain,9661,09661
9662000,"Schweinfurt, Stadt",909,Main-Rhön,9662,09662
9663000,"Würzburg, Stadt",918,Würzburg,9663,09663
9671000,Aschaffenburg,903,Bayerischer Untermain,9671,09671
9672000,Bad Kissingen,909,Main-Rhön,9672,09672
9673000,Rhön-Grabfeld,909,Main-Rhön,9673,09673
9674000,Haßberge,909,Main-Rhön,9674,09674
9675000,Kitzingen,918,Würzburg,9675,09675
9676000,Miltenberg,903,Bayerischer Untermain,9676,09676
9677000,Main-Spessart,918,Würzburg,9677,09677
9678000,Schweinfurt,909,Main-Rhön,9678,09678
9679000,Würzburg,918,Würzburg,9679,09679
9761000,"Augsburg, Stadt",902,Augsburg,9761,09761
9762000,"Kaufbeuren, Stadt",901,Allgäu,9762,09762
9763000,"Kempten (Allgäu), Stadt",901,Allgäu,9763,09763
9764000,"Memmingen, Stadt",904,Donau-Iller (BY),9764,09764
9771000,Aichach-Friedberg,902,Augsburg,9771,09771
9772000,Augsburg,902,Augsburg,9772,09772
9773000,Dillingen a.d.Donau,902,Augsburg,9773,09773
9774000,Günzburg,904,Donau-Iller (BY),9774,09774
9775000,Neu-Ulm,904,Donau-Iller (BY),9775,09775
9776000,Lindau (Bodensee),901,Allgäu,9776,09776
9777000,Ostallgäu,901,Allgäu,9777,09777
9778000,Unterallgäu,904,Donau-Iller (BY),9778,09778
9779000,Donau-Ries,902,Augsburg,9779,09779
9780000,Oberallgäu,901,Allgäu,9780,09780
10041000,Regionalverband Saarbrücken,1001,Saar,10041,10041
10042000,Merzig-Wadern,1001,Saar,10042,10042
10043000,Neunkirchen,1001,Saar,10043,10043
